"filename", "language", "Python", "HTML", "PostCSS", "JavaScript", "C++", "comment", "blank", "total"
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\enter_code.html", "HTML", 0, 20, 0, 0, 0, 1, 13, 34
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\manageprofile.html", "HTML", 0, 58, 0, 0, 0, 2, 8, 68
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\portDocumentation.html", "HTML", 0, 8, 0, 0, 0, 0, 7, 15
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\registration\driver_signup.html", "HTML", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\registration\login.html", "HTML", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\registration\port_signup.html", "HTML", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\registration\truck_company_signup.html", "HTML", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\search_results.html", "HTML", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\signupbase.html", "HTML", 0, 8, 0, 0, 0, 0, 4, 12
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\truckCompanyDocumentation.html", "HTML", 0, 8, 0, 0, 0, 0, 7, 15
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\templates\unauthorized.html", "HTML", 0, 26, 0, 0, 0, 0, 6, 32
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\urls.py", "Python", 23, 0, 0, 0, 0, 1, 2, 26
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\views.py", "Python", 185, 0, 0, 0, 0, 8, 43, 236
"c:\Users\leon0\Desktop\development\DockChain-Website-1\arduino_code\basic_lcd.ino", "C++", 0, 0, 0, 0, 273, 69, 67, 409
"c:\Users\leon0\Desktop\development\DockChain-Website-1\arduino_code\enroll.ino", "C++", 0, 0, 0, 0, 177, 27, 27, 231
"c:\Users\leon0\Desktop\development\DockChain-Website-1\arduino_code\fingerprint.ino", "C++", 0, 0, 0, 0, 281, 70, 55, 406
"c:\Users\leon0\Desktop\development\DockChain-Website-1\arduino_code\fullcircuit.ino", "C++", 0, 0, 0, 0, 339, 105, 108, 552
"c:\Users\leon0\Desktop\development\DockChain-Website-1\manage.py", "Python", 15, 0, 0, 0, 0, 3, 5, 23
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\Base\script.js", "JavaScript", 0, 0, 0, 72, 0, 0, 11, 83
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\Base\style.css", "PostCSS", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\CompanyTruckerForm\style.css", "PostCSS", 0, 0, 25, 0, 0, 0, 6, 31
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\DocumentationPages\driverDocumentation.css", "PostCSS", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\DocumentationPages\portDocumentation.css", "PostCSS", 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\leon0\Desktop\development\DockChain-Website-1\static\DocumentationPages\truckCompanyDocumentation.css", "PostCSS", 0, 0, 4, 0, 0, 0, 2, 6
